province,type_property,property_id,subtype_property,postal_code,city,price,state_of_property,heating_type,sun_exposure,livable_surface,epc_score,latitude,longitude,facades,bedrooms,bathrooms,toilets,terrace,garden,garage,swimming_pool,flooding_area_type,distance_from_train_stations_by_foot,distance_from_elementary_school_by_foot,distance_from_high_school_by_foot
brabant_wallon,apartment,vbe33800,apartment,1490,court_saint_etienne,250000.0,normal,gas,south_west,107.0,B,50.6422504,4.5680813,2,2.0,1,1,0,0,0,0,(information_not_available),499.0,452.0,412.0
brabant_wallon,apartment,vbe33799,apartment,1435,mont_saint_guibert,250000.0,normal,gas,south_west,107.0,B,50.6348554,4.6107385,2,2.0,1,1,0,0,0,0,(information_not_available),627.0,342.0,1000.0
brabant_wallon,house,vbe33764,residence,1310,la_hulpe,1135000.0,excellent,gas,not_specified,40.0,A,50.7309955,4.4856707,4,4.0,3,0,1,1,0,0,(information_not_available),1200.0,12.0,300.0
brabant_wallon,house,vbe33763,residence,1332,genval,1135000.0,excellent,gas,not_specified,40.0,A,50.7211,4.49388,4,4.0,3,0,1,1,0,0,(information_not_available),2300.0,335.0,957.0
brabant_wallon,house,rbw18365,residence,1457,walhain,395000.0,to_renovate,not_specified,not_specified,11.0,B,50.617355,4.697802,2,4.0,1,2,1,1,0,0,(information_not_available),3900.0,400.0,4300.0
brabant_wallon,apartment,vbe33739,penthouse,1490,court_saint_etienne,530000.0,new,hot_air,not_specified,13.0,A+,50.6220797,4.5475395,4,4.0,2,3,1,0,0,0,(information_not_available),495.0,1300.0,3100.0
brabant_wallon,apartment,vbe33738,penthouse,1490,court_saint_etienne,528000.0,new,hot_air,not_specified,14.0,A+,50.6220797,4.5475395,4,4.0,2,2,1,0,0,0,(information_not_available),495.0,1300.0,3100.0
brabant_wallon,apartment,vbe33697,apartment,1400,nivelles,210000.0,to_renovate,not_specified,north_east,14.0,C,50.5886574,4.3308649,2,2.0,1,1,1,0,0,0,no_flooding_area,2000.0,984.0,1100.0
brabant_wallon,house,vbe33659,residence,1330,rixensart,545000.0,normal,gas,west,146.0,C,50.7109736,4.5306325,3,3.0,1,2,1,0,0,0,no_flooding_area,245.0,535.0,1400.0
brabant_wallon,apartment,vbe33648,ground_floor,1400,nivelles,245000.0,excellent,gas,north,13.0,C,50.5886574,4.3308649,2,1.0,1,1,1,0,0,0,no_flooding_area,2000.0,984.0,1100.0
brabant_wallon,house,vbe33617,residence,1430,rebecq,360000.0,normal,gas,not_specified,210.0,G,50.665625,4.132162,2,4.0,2,2,1,1,0,0,possible_flooding_area,3800.0,275.0,6100.0
brabant_wallon,house,vbe33594,villa,1360,perwez,349000.0,excellent,gas,not_specified,763.0,C,50.6267124,4.8328475,4,3.0,1,2,0,0,0,0,(information_not_available),2000.0,1600.0,2100.0
brabant_wallon,house,vbe33529,cottage,1367,ramillies,249000.0,to_be_renovated,fuel_oil,not_specified,11.0,G,50.6934481,4.8941665,4,3.0,1,1,0,1,1,0,possible_flooding_area,2000.0,189.0,4100.0
brabant_wallon,house,vbe33499,residence,1400,nivelles,350000.0,fully_renovated,gas,north_east,14.0,B,50.5974416,4.3137915,2,4.0,1,2,1,1,0,0,no_flooding_area,1800.0,545.0,871.0
brabant_wallon,house,vbe33497,residence,1420,braine_l_alleud,415000.0,normal,fuel_oil,not_specified,20.0,D,50.6969022,4.3538379,2,3.0,1,2,1,1,1,1,no_flooding_area,2700.0,860.0,2300.0
brabant_wallon,house,rbw18063,residence,1470,genappe,699000.0,excellent,not_specified,south,22.0,D,50.60953,4.4476,3,4.0,1,1,1,0,0,0,(information_not_available),7300.0,259.0,360.0
brabant_wallon,house,vbe33462,residence,1401,baulers,260000.0,to_be_renovated,fuel_oil,not_specified,11.0,F,50.6080537,4.3607481,4,2.0,1,1,0,0,0,0,(information_not_available),2400.0,1500.0,1900.0
brabant_wallon,house,vbe33460,villa,1410,waterloo,545000.0,to_renovate,gas,not_specified,17.0,F,50.71469,4.3991,4,4.0,2,2,1,1,0,0,(information_not_available),1600.0,426.0,388.0
brabant_wallon,house,rbw18019,residence,1350,orp_le_grand,245000.0,to_be_renovated,gas,south_east,10.0,G,50.6895853,4.9764,4,3.0,1,2,1,1,1,0,no_flooding_area,10900.0,2000.0,8300.0
brabant_wallon,apartment,vbe33403,apartment,1410,waterloo,360000.0,excellent,gas,not_specified,13.0,not_specified,50.71469,4.3991,2,1.0,1,1,0,0,0,0,(information_not_available),1600.0,426.0,388.0
brabant_wallon,house,vbe33396,villa,1301,bierges,630000.0,excellent,gas,north_east,25.0,C,50.7113795,4.5871684,4,4.0,2,2,1,1,1,0,no_flooding_area,982.0,736.0,2400.0
brabant_wallon,house,vbe33288,villa,1380,lasne,2250000.0,excellent,not_specified,not_specified,530.0,C,50.68736,4.48135,4,3.0,1,0,0,0,0,1,(information_not_available),5200.0,527.0,4100.0
brabant_wallon,house,vbe33286,residence,1480,tubize,308750.0,not_specified,not_specified,not_specified,190.0,C,50.69054,4.2026,2,2.0,1,0,0,0,0,0,(information_not_available),527.0,377.0,2.0
brabant_wallon,apartment,vbe33271,apartment,1480,tubize,225000.0,normal,gas,not_specified,70.0,B,50.69054,4.2026,2,2.0,1,1,0,0,0,0,(information_not_available),527.0,377.0,2.0
brabant_wallon,house,vbe33270,residence,1480,clabecq,370000.0,new,gas,not_specified,160.0,A,50.69212,4.22163,3,4.0,1,2,1,1,0,0,(information_not_available),2100.0,112.0,654.0
brabant_wallon,apartment,vbe33267,apartment,1300,wavre,180000.0,not_specified,gas,not_specified,70.0,C,50.7158951,4.6128257,3,1.0,1,1,1,0,0,0,(information_not_available),739.0,352.0,66.0
brabant_wallon,apartment,vbe33266,apartment,1300,wavre,185000.0,not_specified,gas,not_specified,70.0,D,50.7158951,4.6128257,0,2.0,1,1,1,0,0,0,(information_not_available),739.0,352.0,66.0
brabant_wallon,house,vbe33225,residence,1390,grez_doiceau,1350000.0,normal,fuel_oil,not_specified,19.0,B,50.7385816,4.6972809,4,4.0,2,3,1,1,1,0,no_flooding_area,3500.0,292.0,6100.0
brabant_wallon,house,vbe33207,villa,1410,waterloo,1450000.0,excellent,gas,not_specified,14.0,C,50.71469,4.3991,4,4.0,3,3,1,1,1,1,no_flooding_area,1600.0,426.0,388.0
brabant_wallon,house,vbe33089,cottage,1400,nivelles,250000.0,to_be_renovated,not_specified,north_east,10.0,G,50.5886574,4.3308649,4,4.0,1,1,1,1,1,0,no_flooding_area,2000.0,984.0,1100.0
brabant_wallon,house,vbe33042,residence,1380,plancenoit,525000.0,normal,fuel_oil,north,213.0,D,50.65988,4.43276,3,4.0,1,2,1,1,0,0,no_flooding_area,5400.0,127.0,5300.0
brabant_wallon,house,vbe33033,villa,1330,rixensart,495000.0,excellent,gas,north_west,15.0,C,50.7149977,4.5276541,4,2.0,1,2,1,1,1,0,no_flooding_area,737.0,528.0,835.0
